3M
A. O. Smith
Abbott Laboratories
AbbVie
Accenture
Adobe Inc.
Advanced Micro Devices
AES Corporation
Aflac
Agilent Technologies
Air Products and Chemicals
Airbnb
Akamai Technologies
Albemarle Corporation
Alexandria Real Estate Equities
Align Technology
Allegion
Alliant Energy
Allstate
Alphabet Inc. (Class A)
Alphabet Inc. (Class C)
Altria
Amazon
Amcor
Ameren
American Airlines Group
American Electric Power
American Express
American International Group
American Tower
American Water Works
Ameriprise Financial
Ametek
Amgen
Amphenol
Analog Devices
Ansys
Aon
APA Corporation
Apple Inc.
Applied Materials
Aptiv
Arch Capital Group
Archer Daniels Midland
Arista Networks
Arthur J. Gallagher & Co.
Assurant
AT&T
Atmos Energy
Autodesk
Automatic Data Processing
AutoZone
AvalonBay Communities
Avery Dennison
Axon Enterprise
Baker Hughes
Ball Corporation
Bank of America
Bank of New York Mellon
"Bath & Body Works, Inc."
Baxter International
Becton Dickinson
Berkshire Hathaway
Best Buy
Bio-Rad
Bio-Techne
Biogen
BlackRock
Blackstone
Boeing
Booking Holdings
BorgWarner
Boston Scientific
Bristol Myers Squibb
Broadcom
Broadridge Financial Solutions
Brown & Brown
Brown–Forman
Builders FirstSource
Bunge Global SA
"BXP, Inc."
Cadence Design Systems
Caesars Entertainment
Camden Property Trust
Campbell Soup Company
Capital One
Cardinal Health
CarMax
Carnival
Carrier Global
Catalent
Caterpillar Inc.
Cboe Global Markets
CBRE Group
CDW
Celanese
Cencora
Centene Corporation
CenterPoint Energy
CF Industries
CH Robinson
Charles River Laboratories
Charles Schwab Corporation
Charter Communications
Chevron Corporation
Chipotle Mexican Grill
Chubb Limited
Church & Dwight
Cigna
Cincinnati Financial
Cintas
Cisco
Citigroup
Citizens Financial Group
Clorox
CME Group
CMS Energy
Coca-Cola Company (The)
Cognizant
Colgate-Palmolive
Comcast
Conagra Brands
ConocoPhillips
Consolidated Edison
Constellation Brands
Constellation Energy
Cooper Companies (The)
Copart
Corning Inc.
Corpay
Corteva
CoStar Group
Costco
Coterra
CrowdStrike
Crown Castle
CSX
Cummins
CVS Health
Danaher Corporation
Darden Restaurants
DaVita
Dayforce
Deckers Brands
Deere & Company
Delta Air Lines
Devon Energy
Dexcom
Diamondback Energy
Digital Realty
Discover Financial
Dollar General
Dollar Tree
Dominion Energy
Domino's
Dover Corporation
Dow Inc.
DR Horton
DTE Energy
Duke Energy
DuPont
Eastman Chemical Company
Eaton Corporation
eBay
Ecolab
Edison International
Edwards Lifesciences
Electronic Arts
Elevance Health
Emerson Electric
Enphase
Entergy
EOG Resources
EPAM Systems
EQT Corporation
Equifax
Equinix
Equity Residential
Essex Property Trust
Estée Lauder Companies (The)
Etsy
Everest Re
Evergy
Eversource
Exelon
Expedia Group
Expeditors International
Extra Space Storage
ExxonMobil
"F5, Inc."
FactSet
Fair Isaac
Fastenal
Federal Realty
FedEx
Fidelity National Information Services
Fifth Third Bank
First Solar
FirstEnergy
Fiserv
FMC Corporation
Ford Motor Company
Fortinet
Fortive
Fox Corporation (Class A)
Fox Corporation (Class B)
Franklin Templeton
Freeport-McMoRan
Garmin
Gartner
GE Aerospace
GE HealthCare
GE Vernova
Gen Digital
Generac
General Dynamics
General Mills
General Motors
Genuine Parts Company
Gilead Sciences
Global Payments
Globe Life
GoDaddy
Goldman Sachs
Halliburton
Hartford (The)
Hasbro
HCA Healthcare
Healthpeak
Henry Schein
Hershey's
Hess Corporation
Hewlett Packard Enterprise
Hilton Worldwide
Hologic
Home Depot (The)
Honeywell
Hormel Foods
Host Hotels & Resorts
Howmet Aerospace
HP Inc.
Hubbell Incorporated
Humana
Huntington Bancshares
Huntington Ingalls Industries
IBM
IDEX Corporation
Idexx Laboratories
Illinois Tool Works
Incyte
Ingersoll Rand
Insulet Corporation
Intel
Intercontinental Exchange
International Flavors & Fragrances
International Paper
Interpublic Group of Companies (The)
Intuit
Intuitive Surgical
Invesco
Invitation Homes
IQVIA
Iron Mountain
J.B. Hunt
Jabil
Jack Henry & Associates
Jacobs Solutions
Johnson & Johnson
Johnson Controls
JPMorgan Chase
Juniper Networks
Kellanova
Kenvue
Keurig Dr Pepper
KeyCorp
Keysight
Kimberly-Clark
Kimco Realty
Kinder Morgan
KKR
KLA Corporation
Kraft Heinz
Kroger
L3Harris
LabCorp
Lam Research
Lamb Weston
Las Vegas Sands
Leidos
Lennar
Lilly (Eli)
Linde plc
Live Nation Entertainment
LKQ Corporation
Lockheed Martin
Loews Corporation
Lowe's
Lululemon Athletica
LyondellBasell
M&T Bank
Marathon Oil
Marathon Petroleum
MarketAxess
Marriott International
Marsh McLennan
Martin Marietta Materials
Masco
Mastercard
Match Group
McCormick & Company
McDonald's
McKesson Corporation
Medtronic
Merck & Co.
Meta Platforms
MetLife
Mettler Toledo
MGM Resorts
Microchip Technology
Micron Technology
Microsoft
Mid-America Apartment Communities
Moderna
Mohawk Industries
Molina Healthcare
Molson Coors Beverage Company
Mondelez International
Monolithic Power Systems
Monster Beverage
Moody's Corporation
Morgan Stanley
Mosaic Company (The)
Motorola Solutions
MSCI
"Nasdaq, Inc."
NetApp
Netflix
Newmont
News Corp (Class A)
News Corp (Class B)
NextEra Energy
"Nike, Inc."
NiSource
Nordson Corporation
Norfolk Southern Railway
Northern Trust
Northrop Grumman
Norwegian Cruise Line Holdings
NRG Energy
Nucor
Nvidia
"NVR, Inc."
NXP Semiconductors
O'Reilly Auto Parts
Occidental Petroleum
Old Dominion
Omnicom Group
ON Semiconductor
ONEOK
Oracle Corporation
Otis Worldwide
Paccar
Packaging Corporation of America
Palo Alto Networks
Paramount Global
Parker Hannifin
Paychex
Paycom
PayPal
Pentair
PepsiCo
Pfizer
PG&E Corporation
Philip Morris International
Phillips 66
Pinnacle West
PNC Financial Services
Pool Corporation
PPG Industries
PPL Corporation
Principal Financial Group
Procter & Gamble
Progressive Corporation
Prologis
Prudential Financial
Public Service Enterprise Group
PTC
Public Storage
PulteGroup
Qorvo
Quanta Services
Qualcomm
Quest Diagnostics
Ralph Lauren Corporation
Raymond James
RTX Corporation
Realty Income
Regency Centers
Regeneron
Regions Financial Corporation
Republic Services
ResMed
Revvity
Rockwell Automation
"Rollins, Inc."
Roper Technologies
Ross Stores
Royal Caribbean Group
S&P Global
Salesforce
SBA Communications
Schlumberger
Seagate Technology
Sempra
ServiceNow
Sherwin-Williams
Simon Property Group
Skyworks Solutions
J.M. Smucker Company (The)
Smurfit WestRock
Snap-on
Solventum
Southern Company
Southwest Airlines
Stanley Black & Decker
Starbucks
State Street Corporation
Steel Dynamics
Steris
Stryker Corporation
Supermicro
Synchrony Financial
Synopsys
Sysco
T-Mobile US
T. Rowe Price
Take-Two Interactive
"Tapestry, Inc."
Targa Resources
Target Corporation
TE Connectivity
Teledyne Technologies
Teleflex
Teradyne
"Tesla, Inc."
Texas Instruments
Textron
Thermo Fisher Scientific
TJX Companies
Tractor Supply
Trane Technologies
TransDigm Group
Travelers Companies (The)
Trimble Inc.
Truist
Tyler Technologies
Tyson Foods
U.S. Bank
Uber
"UDR, Inc."
Ulta Beauty
Union Pacific Corporation
United Airlines Holdings
United Parcel Service
United Rentals
UnitedHealth Group
Universal Health Services
Valero Energy
Ventas
Veralto
Verisign
Verisk
Verizon
Vertex Pharmaceuticals
Viatris
Vici Properties
Visa Inc.
Vistra
Vulcan Materials Company
W. R. Berkley Corporation
W. W. Grainger
Wabtec
Walgreens Boots Alliance
Walmart
Walt Disney Company (The)
Warner Bros. Discovery
Waste Management
Waters Corporation
WEC Energy Group
Wells Fargo
Welltower
West Pharmaceutical Services
Western Digital
Weyerhaeuser
Williams Companies
Willis Towers Watson
Wynn Resorts
Xcel Energy
Xylem Inc.
Yum! Brands
Zebra Technologies
Zimmer Biomet
Zoetis
